id,number,name,sector_commission_id/id,active
branch_economic_activity_06_05,5,FABRICACIÓN DE BROCHAS,sector_commission_06,True
branch_economic_activity_06_06,6,FABRICACIÓN DE CEMENTO,sector_commission_06,True
branch_economic_activity_06_07,7,FABRICACIÓN DE PRODUCTOS DE CERÁMICA,sector_commission_06,True
branch_economic_activity_06_08,8,FABRICACIÓN DE PAPEL Y PRODUCTOS DE PAPEL,sector_commission_06,True
branch_economic_activity_06_09,9,INDUSTRIA DE LA MADERA Y PRODUCTOS DE MADERA- EXCEPTO MUEBLES DE FABRICACIÓN ARTESANAL,sector_commission_06,True
branch_economic_activity_06_10,10,ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES,sector_commission_06,True
branch_economic_activity_06_11,11,ELABORACIÓN DE PRODUCTOS QUÍMICOS: ABONOS Y PLAGUICIDAS- TINTAS- ADHESIVOS- COLAS- FÓSFOROS- VELAS Y AFINES,sector_commission_06,True
branch_economic_activity_06_12,12,FABRICACIÓN DE LLANTAS Y OTROS PRODUCTOS DE CAUCHO,sector_commission_06,True
branch_economic_activity_06_13,13,FABRICACIÓN DE VIDRIO Y PRODUCTOS DE VIDRIO,sector_commission_06,True
branch_economic_activity_06_14,14,FABRICACIÓN DE PINTURAS- BARNICES Y LACAS,sector_commission_06,True
branch_economic_activity_06_15,15,FABRICACIÓN DE PRODUCTOS DE PLÁSTICO,sector_commission_06,True
branch_economic_activity_06_16,16,FABRICACIÓN DE LÁPICES- ESFEROGRÁFICOS Y AFINES,sector_commission_06,True
branch_economic_activity_06_17,17,ÓPTICAS Y ELABORACIÓN DE PRODUCTOS AFINES,sector_commission_06,True
branch_economic_activity_06_18,18,FABRICACIÓN DE JABONES Y PREPARADOS DE LIMPIEZA- PERFUMES- COSMÉTICOS Y OTROS PRODUCTOS DE TOCADOR,sector_commission_06,True
branch_economic_activity_06_19,19,FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES,sector_commission_06,True
branch_economic_activity_06_20,20,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS (PRODUCTOS DE AMIANTO- CEMENTO Y FIBROCEMENTO;PRODUCTOS ABRASIVOS Y DE USO CALORÍFICO; PRODUCTOS DE CEMENTO- YESO- HORMIGÓN Y PIZARRA),sector_commission_06,True
branch_economic_activity_06_21,21,FABRICACIÓN DE LADRILLOS Y TEJAS DE ARCILLA,sector_commission_06,True
branch_economic_activity_06_22,22,FABRICACIÓN DE JOYAS Y ARTÍCULOS CONEXOS EXCEPTO JOYAS DE ELABORACIÓN ARTESANAL,sector_commission_06,True
branch_economic_activity_06_23,23,CONSTRUCCIÓN- FABRICACIÓN- ELABORACIÓN DE OTROS PRODUCTOS INDUSTRIALES; INCLUYE SERVICIO TÉCNICO,sector_commission_06,True
branch_economic_activity_06_24,24,FABRICACIÓN DE PRODUCTOS DE FIBRAS NATURALES EXCEPTO PRODUCTOS DE FIBRAS NATURALES DE ELABORACIÓN ARTESANAL,sector_commission_06,True
branch_economic_activity_06_25,25,ELABORACIÓN DE JOYAS Y ARTÍCULOS CONEXOS,sector_commission_06,True
branch_economic_activity_06_26,26,FABRICACIÓN ARTESANAL DE MUEBLES Y ACCESORIOS DE MADERA,sector_commission_06,True
branch_economic_activity_06_27,27,ELABORACIÓN DE PRODUCTOS DE FIBRAS NATURALES,sector_commission_06,True
branch_economic_activity_06_28,28,FABRICACIÓN DE PRODUCTOS ARTESANALES- HILADO- TEJIDO Y ACABADOS DE PRODUCTOS ARTESANALES,sector_commission_06,True
branch_economic_activity_06_29,29,ELABORACIÓN ARTESANAL DE OBJETOS CERÁMICOS,sector_commission_06,True

branch_economic_activity_07_01,1,INDUSTRIA DEL TABACO,sector_commission_07,True
branch_economic_activity_07_02,2,INDUSTRIAS DE BEBIDAS NO ALCOHÓLICAS- AGUAS- GASEOSAS Y MINERALES,sector_commission_07,True
branch_economic_activity_07_03,3,INDUSTRIAS DE BEBIDAS MALTEADAS Y MALTA (CERVEZA),sector_commission_07,True
branch_economic_activity_07_04,4,DESTILACIÓN- RECTIFICACIÓN Y MEZCLA DE BEBIDAS ESPIRITUOSAS O ALCOHÓLICAS E INDUSTRIAS VINÍCOLAS,sector_commission_07,True

branch_economic_activity_08_01,1,INDUSTRIAS BÁSICAS DEL HIERRO- ACERO Y METALES NO FERROSOS,sector_commission_08,True
branch_economic_activity_08_02,2,FABRICACIÓN DE MUEBLES Y ACCESORIOS METÁLICOS,sector_commission_08,True
branch_economic_activity_08_03,3,FABRICACIÓN DE OTROS PRODUCTOS METÁLICOS (ENVASES- RECIPIENTES- UTENSILIOS DE USO DOMÉSTICO- PRODUCTOS DE TORNILLERÍA- CLAVOS- TUERCAS- ARTÍCULOS DE ALAMBRE)- EXCEPTO MAQUINARIA Y EQUIPOS,sector_commission_08,True
branch_economic_activity_08_04,4,FABRICACIÓN DE PRODUCTOS METÁLICOS ESTRUCTURALES,sector_commission_08,True
branch_economic_activity_08_06,6,FABRICACIÓN DE CUCHILLERÍA- HERRAMIENTAS MANUALES Y ARTÍCULOS DE FERRETERÍA,sector_commission_08,True

branch_economic_activity_10_01,1,CONFECCIÓN DE PRENDAS DE VESTIR Y OTRAS MANUFACTURAS TEXTILES,sector_commission_10,True
branch_economic_activity_10_02,2,CURTIEMBRES Y TENERÍAS,sector_commission_10,True
branch_economic_activity_10_03,3,FABRICACIÓN DE ALFOMBRAS,sector_commission_10,True
branch_economic_activity_10_04,4,FABRICACIÓN DE BOTONES- BROCHES DE PRESIÓN Y CIERRES DE CREMALLERA,sector_commission_10,True
branch_economic_activity_10_05,5,FABRICACIÓN DE CALZADO- CARTERAS- PRENDAS DE VESTIR- CINTURONES- MALETINES Y OTROS PRODUCTOS DE CUERO Y MATERIAS PRIMAS SIMILARES AL CUERO,sector_commission_10,True
branch_economic_activity_10_06,6,FABRICACIÓN DE COLCHONES,sector_commission_10,True
