id,code,name,state_id/id,active
res_city_136,2,Bolívar,state_ec_13,True 
res_city_137,3,Chone,state_ec_13,True
res_city_138,4,El Carmen,state_ec_13,True
res_city_139,5,Flavio Alfaro,state_ec_13,True
res_city_140,6,Jipijapa,state_ec_13,True
res_city_141,7,Junín,state_ec_13,True
res_city_142,8,Manta,state_ec_13,True
res_city_143,9,Montecristi,state_ec_13,True
res_city_144,10,Paján,state_ec_13,True
res_city_145,11,Pichincha,state_ec_13,True
res_city_146,12,Rocafuerte,state_ec_13,True
res_city_147,13,Santa Ana,state_ec_13,True
res_city_148,14,Sucre,state_ec_13,True
res_city_149,15,Tosagua,state_ec_13,True
res_city_150,16,24 De Mayo,state_ec_13,True
res_city_151,17,Pedernales,state_ec_13,True
res_city_152,18,Olmedo,state_ec_13,True
res_city_153,19,Puerto López,state_ec_13,True
res_city_154,20,Jama,state_ec_13,True
res_city_155,21,Jaramijó,state_ec_13,True
res_city_156,22,San Vicente,state_ec_13,True
res_city_157,1,Morona,state_ec_14,True
res_city_158,2,Gualaquiza,state_ec_14,True
res_city_159,3,Limón Indanza,state_ec_14,True
res_city_160,4,Palora,state_ec_14,True
res_city_161,5,Santiago,state_ec_14,True
res_city_162,6,Sucúa,state_ec_14,True
res_city_163,7,Huamboya,state_ec_14,True
res_city_164,8,San Juan Bosco,state_ec_14,True 
res_city_165,9,Taisha,state_ec_14,True
res_city_166,10,Logroño,state_ec_14,True
res_city_167,11,Pablo Sexto,state_ec_14,True
res_city_168,12,Tiwintza,state_ec_14,True
res_city_169,1,Tena,state_ec_15,True
res_city_170,3,Archidona,state_ec_15,True
res_city_171,4,El Chaco,state_ec_15,True
res_city_172,7,Quijos,state_ec_15,True
res_city_173,9,Carlos Julio Arosemena Tola,state_ec_15,True
res_city_174,1,Pastaza,state_ec_16,True
res_city_175,2,Mera,state_ec_16,True
res_city_176,3,Santa Clara,state_ec_16,True
res_city_177,4,Arajuno,state_ec_16,True
res_city_178,1,Quito,state_ec_17,True 
res_city_179,2,Cayambe,state_ec_17,True
res_city_180,3,Mejia,state_ec_17,True
res_city_181,4,Pedro Moncayo,state_ec_17,True
res_city_182,5,Rumiñahui,state_ec_17,True
res_city_183,7,San Miguel de Los Bancos,state_ec_17,True
