id,code,name,city_id/id,active
res_parish_ec_112,9,Salinas,res_city_16,True
res_parish_ec_113,10,San Lorenzo,res_city_16,True
res_parish_ec_114,11,San Simón (Yacoto),res_city_16,True
res_parish_ec_115,12,Santa Fé (Santa Fé),res_city_16,True
res_parish_ec_116,13,Simiátug,res_city_16,True
res_parish_ec_117,14,San Luis De Pambil,res_city_16,True
res_parish_ec_118,1,Chillanes,res_city_17,True
res_parish_ec_119,2,San José Del Tambo (Tambopamba),res_city_17,True
res_parish_ec_120,1,San José De Chimbo,res_city_18,True
res_parish_ec_121,2,Asunción (Asancoto),res_city_18,True
res_parish_ec_122,3,Caluma,res_city_18,True
res_parish_ec_123,4,Magdalena (Chapacoto),res_city_18,True
res_parish_ec_124,5,San Sebastián,res_city_18,True
res_parish_ec_125,6,Telimbela,res_city_18,True
res_parish_ec_126,1,Echeandía,res_city_19,True
res_parish_ec_127,1,San Miguel,res_city_20,True
res_parish_ec_128,2,Balsapamba,res_city_20,True
res_parish_ec_129,3,Bilován,res_city_20,True
res_parish_ec_130,4,Régulo De Mora,res_city_20,True
res_parish_ec_131,5,San Pablo (San Pablo De Atenas),res_city_20,True
res_parish_ec_132,6,Santiago,res_city_20,True
res_parish_ec_133,7,San Vicente,res_city_20,True
res_parish_ec_134,1,Caluma,res_city_21,True
res_parish_ec_135,1,Las Mercedes,res_city_22,True
res_parish_ec_136,2,Las Naves,res_city_22,True
res_parish_ec_137,3,Las Naves,res_city_22,True
res_parish_ec_138,1,Aurelio Bayas Martínez,res_city_23,True
res_parish_ec_139,2,Azogues,res_city_23,True
res_parish_ec_140,3,Borrero,res_city_23,True
res_parish_ec_141,4,San Francisco,res_city_23,True
res_parish_ec_142,5,Azogues,res_city_23,True
res_parish_ec_143,6,Cojitambo,res_city_23,True
res_parish_ec_144,7,Déleg,res_city_23,True
res_parish_ec_145,8,Guapán,res_city_23,True
res_parish_ec_146,9,Javier Loyola (Chuquipata),res_city_23,True
res_parish_ec_147,10,Luis Cordero,res_city_23,True
res_parish_ec_148,11,Pindilig,res_city_23,True
res_parish_ec_149,12,Rivera,res_city_23,True
res_parish_ec_150,13,San Miguel,res_city_23,True
res_parish_ec_151,14,Solano,res_city_23,True
res_parish_ec_152,15,Taday,res_city_23,True
res_parish_ec_153,1,Biblián,res_city_24,True
res_parish_ec_154,2,Nazón (Cab. En Pampa De Domínguez),res_city_24,True
res_parish_ec_155,3,San Francisco De Sageo,res_city_24,True
res_parish_ec_156,4,Turupamba,res_city_24,True
res_parish_ec_157,5,Jerusalén,res_city_24,True
res_parish_ec_158,1,Cañar,res_city_25,True
res_parish_ec_159,2,Chontamarca,res_city_25,True
res_parish_ec_160,3,Chorocopte,res_city_25,True
res_parish_ec_161,4,General Morales (Socarte),res_city_25,True
res_parish_ec_162,5,Gualleturo,res_city_25,True
res_parish_ec_163,6,Honorato Vásquez (Tambo Viejo),res_city_25,True
res_parish_ec_164,7,Ingapirca,res_city_25,True
res_parish_ec_165,8,Juncal,res_city_25,True
res_parish_ec_166,9,San Antonio,res_city_25,True
res_parish_ec_167,10,Suscal,res_city_25,True
res_parish_ec_168,11,Tambo,res_city_25,True
res_parish_ec_169,12,Zhud,res_city_25,True
res_parish_ec_170,13,Ventura,res_city_25,True
res_parish_ec_171,14,Ducur,res_city_25,True
res_parish_ec_172,1,La Troncal,res_city_26,True
res_parish_ec_173,2,Manuel J. Calle,res_city_26,True
res_parish_ec_174,3,Pancho Negro,res_city_26,True
res_parish_ec_175,1,El Tambo,res_city_27,True
res_parish_ec_176,1,Déleg,res_city_28,True
res_parish_ec_177,2,Solano,res_city_28,True
res_parish_ec_178,1,Suscal,res_city_29,True
res_parish_ec_179,1,González Suárez,res_city_30,True
res_parish_ec_180,2,Tulcán,res_city_30,True
res_parish_ec_181,3,Tulcán,res_city_30,True
res_parish_ec_182,4,El Carmelo (El Pun),res_city_30,True
res_parish_ec_183,5,Huaca,res_city_30,True
res_parish_ec_184,6,Julio Andrade (Orejuela),res_city_30,True
res_parish_ec_185,7,Maldonado,res_city_30,True
res_parish_ec_186,8,Pioter,res_city_30,True
res_parish_ec_187,9,Tobar Donoso (La Bocana De Camumbí),res_city_30,True
res_parish_ec_188,10,Tufiño,res_city_30,True
res_parish_ec_189,11,Urbina (Taya),res_city_30,True
res_parish_ec_190,12,El Chical,res_city_30,True
res_parish_ec_191,13,Mariscal Sucre,res_city_30,True
res_parish_ec_192,14,Santa Martha De Cuba,res_city_30,True
res_parish_ec_193,1,Bolívar,res_city_31,True
res_parish_ec_194,2,García Moreno,res_city_31,True
res_parish_ec_195,3,Los Andes,res_city_31,True
res_parish_ec_196,4,Monte Olivo,res_city_31,True
res_parish_ec_197,5,San Vicente De Pusir,res_city_31,True
res_parish_ec_198,6,San Rafael,res_city_31,True
res_parish_ec_199,1,El Ángel,res_city_32,True
res_parish_ec_200,2,27 De Septiembre,res_city_32,True
res_parish_ec_201,3,El Angel,res_city_32,True
res_parish_ec_202,4,El Goaltal,res_city_32,True
res_parish_ec_203,5,La Libertad (Alizo),res_city_32,True
res_parish_ec_204,6,San Isidro,res_city_32,True
res_parish_ec_205,1,Mira (Chontahuasi),res_city_33,True
res_parish_ec_206,2,Concepción,res_city_33,True
res_parish_ec_207,3,Jijón Y Caamaño (Cab. En Río Blanco),res_city_33,True
res_parish_ec_208,4,Juan Montalvo (San Ignacio De Quil),res_city_33,True
res_parish_ec_209,1,González Suárez,res_city_34,True
res_parish_ec_210,2,San José,res_city_34,True
res_parish_ec_211,3,San Gabriel,res_city_34,True
res_parish_ec_212,4,Cristóbal Colón,res_city_34,True
res_parish_ec_213,5,Chitán De Navarrete,res_city_34,True
res_parish_ec_214,6,Fernández Salvador,res_city_34,True
res_parish_ec_215,7,La Paz,res_city_34,True
res_parish_ec_216,8,Piartal,res_city_34,True
res_parish_ec_217,1,Huaca,res_city_35,True
res_parish_ec_218,2,Mariscal Sucre,res_city_35,True
res_parish_ec_219,1,Eloy Alfaro (San Felipe),res_city_36,True
res_parish_ec_220,2,Ignacio Flores (Parque Flores),res_city_36,True
res_parish_ec_221,3,Juan Montalvo (San Sebastián),res_city_36,True
res_parish_ec_222,4,La Matriz,res_city_36,True
res_parish_ec_223,5,San Buenaventura,res_city_36,True
res_parish_ec_224,6,Latacunga,res_city_36,True
res_parish_ec_225,7,Alaques (Aláquez),res_city_36,True
res_parish_ec_226,8,Belisario Quevedo (Guanailín),res_city_36,True
res_parish_ec_227,9,Guaitacama (Guaytacama),res_city_36,True
res_parish_ec_228,10,Joseguango Bajo,res_city_36,True
res_parish_ec_229,11,Las Pampas,res_city_36,True
res_parish_ec_230,12,Mulaló,res_city_36,True
res_parish_ec_231,13,11 De Noviembre (Ilinchisi),res_city_36,True
res_parish_ec_232,14,Poaló,res_city_36,True
res_parish_ec_233,15,San Juan De Pastocalle,res_city_36,True
res_parish_ec_234,16,Sigchos,res_city_36,True
res_parish_ec_235,17,Tanicuchí,res_city_36,True
res_parish_ec_236,18,Toacaso,res_city_36,True
res_parish_ec_237,19,Palo Quemado,res_city_36,True
res_parish_ec_238,1,El Carmen,res_city_37,True
res_parish_ec_239,2,La Maná,res_city_37,True
res_parish_ec_240,3,El Triunfo,res_city_37,True
res_parish_ec_241,4,La Maná,res_city_37,True
res_parish_ec_242,5,Guasaganda (Cab.En Guasaganda,res_city_37,True
res_parish_ec_243,6,Pucayacu,res_city_37,True
res_parish_ec_244,1,El Corazón,res_city_38,True
res_parish_ec_245,2,Moraspungo,res_city_38,True
res_parish_ec_246,3,Pinllopata,res_city_38,True
res_parish_ec_247,4,Ramón Campaña,res_city_38,True
res_parish_ec_248,1,Pujilí,res_city_39,True
res_parish_ec_249,2,Angamarca,res_city_39,True
res_parish_ec_250,3,Chucchilán (Chugchilán),res_city_39,True
res_parish_ec_251,4,Guangaje,res_city_39,True
res_parish_ec_252,5,Isinlibí (Isinliví),res_city_39,True
res_parish_ec_253,6,La Victoria,res_city_39,True
res_parish_ec_254,7,Pilaló,res_city_39,True
res_parish_ec_255,8,Tingo,res_city_39,True
res_parish_ec_256,9,Zumbahua,res_city_39,True
